City,Population,Violent_crime,"Murder_and_nonnegligentmanslaughter",Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,
Charleston,"2,494",9,1,1,0,7,41,10,30,1,0,
Cherokee Village,"4,568",3,0,2,0,1,68,29,35,4,0,
Clarendon,"1,514",2,0,0,0,2,34,7,23,4,0,
Clarksville,"9,443",29,0,12,4,13,457,33,402,22,1,
Clinton,"2,537",6,0,2,1,3,47,8,30,9,0,
Conway,"65,764",312,3,34,83,192,"3,051",396,"2,494",161,2,
Corning,"3,113",12,0,0,0,12,31,7,23,1,1,
Cotter,941,2,0,0,0,2,22,4,18,0,0,
Crossett,"5,192",23,0,0,6,17,261,112,144,5,2,
Damascus,382,0,0,0,0,0,8,0,8,0,0,
Danville,"2,368",2,0,0,1,1,16,7,7,2,0,
Dardanelle,"4,702",24,0,10,0,14,112,41,64,7,1,
Decatur,"1,781",7,0,3,0,4,48,13,35,0,0,
Dell,208,0,0,0,0,0,2,1,1,0,1,
De Queen,"6,781",15,0,5,2,8,164,42,119,3,0,
Dermott,"2,722",8,0,1,0,7,24,21,3,0,0,
Des Arc,"1,620",3,0,1,0,2,20,9,9,2,0,
De Witt,"3,197",30,0,6,3,21,155,46,108,1,0,
Dierks,"1,101",1,0,0,0,1,4,4,0,0,0,
Dover,"1,401",3,0,2,0,1,34,7,26,1,0,
Dumas,"4,370",21,3,2,3,13,86,29,54,3,0,
Dyer,857,5,0,1,0,4,24,5,19,0,0,
Earle,"2,298",24,0,3,2,19,67,25,36,6,0,
El Dorado,"18,229",172,6,9,25,132,931,402,493,36,2,
Elkins,"2,949",3,0,2,0,1,27,9,18,0,0,
England,"2,775",33,0,11,3,19,106,34,70,2,2,
Etowah,329,0,0,0,0,0,5,2,3,0,0,
Eudora,"2,105",7,1,1,1,4,70,23,44,3,0,
Eureka Springs,"2,088",8,0,3,2,3,87,29,56,2,1,
Fairfield Bay,"2,265",9,0,1,0,8,85,33,49,3,0,
Farmington,"6,603",9,0,2,1,6,110,15,88,7,2,
Fayetteville,"82,377",409,5,40,56,308,"3,641",426,"2,854",361,5,
Flippin,"1,349",5,0,3,0,2,41,4,36,1,0,
Fordyce,"4,067",52,0,1,10,41,167,45,113,9,0,
Fort Smith,"87,603",704,5,66,119,514,"5,162",953,"3,990",219,11,
Gassville,"2,132",2,0,1,0,1,92,10,80,2,0,
Gentry,"3,417",15,0,12,0,3,39,12,27,0,0,
Glenwood,"2,168",5,0,0,0,5,49,20,27,2,1,
Gosnell,"3,307",25,0,3,2,20,96,35,60,1,1,
Gravette,"3,245",13,0,7,0,6,33,10,22,1,0,
Greenbrier,"5,339",1,0,0,0,1,13,0,6,7,0,
Green Forest,"2,777",19,0,5,1,13,56,7,44,5,0,
Greenland,"1,397",3,0,1,1,1,14,5,9,0,0,
Greenwood,"9,310",15,0,4,1,10,55,22,31,2,0,
Greers Ferry,875,2,0,0,0,2,17,4,12,1,0,
Gurdon,"2,136",21,0,1,0,20,48,15,32,1,0,
Guy,721,0,0,0,0,0,5,2,3,0,0,
Hamburg,"2,790",21,0,2,2,17,38,16,22,0,0,
Hampton,"1,267",6,0,1,1,4,30,12,16,2,0,
Hardy,756,2,0,0,0,2,21,6,13,2,0,
Harrisburg,"2,323",14,0,2,1,11,93,26,62,5,0,
Harrison,"13,179",98,1,22,3,72,754,194,524,36,3,
Hazen,"1,388",2,0,0,2,0,14,6,8,0,0,
Heber Springs,"7,164",13,1,4,2,6,272,62,193,17,2,
Helena-West Helena,"11,101",166,6,13,26,121,615,205,377,33,6,
Higginson,648,0,0,0,0,0,8,3,5,0,0,
Highfill,638,4,0,0,0,4,1,0,1,0,0,
Highland,"1,051",0,0,0,0,0,21,1,20,0,0,
Hope,"9,986",84,2,10,4,68,574,112,436,26,1,
Hoxie,"2,693",8,0,5,0,3,13,5,7,1,0,
Jacksonville,"28,902",218,1,26,19,172,"1,395",343,985,67,4,
Johnson,"3,654",2,0,0,0,2,92,35,34,23,0,
Jonesboro,"73,404",392,4,56,56,276,"2,944",671,"2,182",91,9,
Judsonia,"2,018",4,0,1,1,2,24,8,14,2,0,
Kensett,"1,645",4,0,2,0,2,33,6,26,1,0,
Lake City,"2,295",6,0,3,0,3,17,7,10,0,1,
Lakeview,717,1,0,0,0,1,13,2,10,1,0,
Lake Village,"2,417",11,0,1,2,8,96,24,70,2,2,
Lamar,"1,671",8,0,1,0,7,22,11,11,0,0,
Lavaca,"2,400",9,0,2,0,7,30,3,26,1,0,
Leachville,"1,867",5,0,2,1,2,29,7,19,3,1,
Lepanto,"1,844",3,0,1,2,0,42,12,28,2,0,
Lewisville,"1,181",6,0,1,3,2,35,9,23,3,0,
Lincoln,"2,454",13,0,4,0,9,51,14,34,3,0,
Little Flock,"2,750",5,0,1,0,4,5,2,2,1,0,
Little Rock,"198,647","2,950",32,167,670,"2,081","12,855","2,349","9,590",916,90,
Lonoke,"4,262",13,1,0,3,9,126,17,109,0,0,
Lowell,"8,602",22,0,3,1,18,180,52,119,9,0,
Luxora,"1,103",3,0,1,2,0,6,0,6,0,0,
Magnolia,"11,414",47,1,2,6,38,346,192,141,13,4,
Marianna,"3,815",31,0,4,1,26,131,45,81,5,2,
Marion,"12,301",95,0,9,19,67,498,117,360,21,2,
Marmaduke,"1,231",5,0,1,0,4,39,27,12,0,0,
Marvell,"1,049",1,0,0,0,1,15,10,5,0,0,
Maumelle,"17,943",28,4,2,2,20,458,78,367,13,2,
Mayflower,"2,374",6,0,2,0,4,78,21,50,7,0,
McGehee,"3,980",22,1,4,1,16,127,36,84,7,0,
McRae,677,1,0,0,0,1,4,2,2,0,0,
Mena,"5,639",13,0,5,0,8,241,27,211,3,1,
Monticello,"9,712",37,0,10,10,17,321,63,250,8,2,
Morrilton,"6,744",20,0,6,2,12,410,43,353,14,3,
Mountain Home,"12,233",30,0,21,0,9,569,54,501,14,1,
Mountain View,"2,862",17,0,7,0,10,76,21,51,4,0,
Mulberry,"1,618",10,0,1,2,7,83,25,55,3,0,
Murfreesboro,"1,599",2,0,0,0,2,27,11,16,0,0,
Nashville,"4,526",14,0,6,0,8,167,24,142,1,0,
Newport,"7,744",63,1,7,9,46,523,168,347,8,2,
Norfolk,495,0,0,0,0,0,7,1,4,2,0,
North Little Rock,"67,943",526,13,8,128,377,"3,229",596,"2,345",288,19,
Ola,"1,260",1,0,0,0,1,18,5,12,1,0,
Osceola,"7,222",149,1,4,13,131,280,79,184,17,6,
Ozark,"3,597",20,0,6,0,14,112,27,79,6,2,
Pangburn,597,3,0,0,0,3,13,1,11,1,0,
Paragould,"27,791",178,0,46,18,114,"1,502",259,"1,174",69,9,
Paris,"3,460",20,0,1,2,17,144,46,88,10,1,
Parkin,"1,044",2,0,1,0,1,28,6,17,5,1,
Pea Ridge,"5,195",23,0,3,0,20,110,39,70,1,2,
Perryville,"1,433",4,0,2,2,0,54,10,42,2,1,
Piggott,"3,614",14,0,2,1,11,92,37,52,3,0,
Pine Bluff,"44,466",569,10,32,104,423,"2,767",921,"1,679",167,48,
Plainview,604,0,0,0,0,0,7,2,4,1,0,
Plummerville,806,3,0,2,0,1,17,2,15,0,0,
Pocahontas,"6,442",18,0,8,3,7,338,52,271,15,1,
Pottsville,"3,122",17,0,3,0,14,33,8,20,5,1,
Prairie Grove,"5,077",14,0,3,0,11,106,24,78,4,0,
Quitman,746,2,0,1,0,1,38,1,37,0,0,
Ravenden,454,0,0,0,0,0,3,2,1,0,0,
Redfield,"1,588",0,0,0,0,0,11,3,8,0,0,
Rison,"1,295",6,0,0,0,6,22,13,8,1,2,
Rogers,"62,819",276,1,37,12,226,"2,077",258,"1,743",76,3,
Rose Bud,479,1,0,0,1,0,5,0,5,0,0,
Russellville,"29,197",148,0,15,22,111,"1,133",186,853,94,3,
Salem,"1,621",2,0,0,0,2,29,5,23,1,0,
Shannon Hills,"3,815",5,0,0,0,5,40,13,24,3,0,
Sheridan,"4,903",18,0,4,0,14,191,24,156,11,0,
Sherwood,"30,572",140,0,8,19,113,"1,181",196,910,75,3,
Siloam Springs,"16,158",62,0,12,5,45,500,110,370,20,0,
Stamps,"1,554",5,0,0,1,4,18,9,8,1,0,
Star City,"2,208",9,0,4,0,5,72,27,42,3,0,
St. Charles,224,0,0,0,0,0,0,0,0,0,0,
Stuttgart,"9,084",96,0,9,13,74,454,140,287,27,3,
Swifton,763,3,0,0,0,3,4,2,2,0,0,
Texarkana,"30,026",196,4,19,45,128,"1,717",289,"1,331",97,0,
Trumann,"7,179",57,0,13,4,40,598,137,444,17,2,
Tuckerman,"1,773",1,0,1,0,0,10,1,9,0,0,
Tyronza,751,1,0,0,0,1,2,0,2,0,0,
Van Buren,"23,132",99,1,8,7,83,835,227,576,32,2,
Vilonia,"4,469",12,0,0,0,12,84,30,51,3,0,
Waldron,"3,404",16,1,7,0,8,135,38,93,4,3,
Walnut Ridge,"4,695",12,0,4,0,8,75,23,49,3,1,
Ward,"4,747",44,0,7,3,34,109,41,64,4,0,
Warren,"5,789",23,0,2,5,16,97,50,39,8,0,
Weiner,692,0,0,0,0,0,3,1,1,1,0,
West Fork,"2,552",8,1,2,0,5,20,2,17,1,0,
West Memphis,"25,218",423,6,36,75,306,"1,373",367,911,95,11,
White Hall,"5,174",4,0,0,1,3,61,15,42,4,1,
Wynne,"8,098",76,1,9,2,64,489,150,327,12,0,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,
